"msg_id","sender","sender_id","reply_to_msg_id","date","msg_type","msg_content","has_mention","has_email","has_phone","has_hashtag","is_bot_command"
61,"НИЧЕГО СТРАШНОГО","channel1486494176",-1,"2020-11-24 15:44:48","text","Полотно, которое связано с историями, диалогами и обрывками путешественных записок, которые я оставляю себе в заметках в процессе изучения новых стран и городов. ⠀ Помню, что когда писал его в мастерской, я слушал книгу Пелевина «Тайные виды на гору Фудзи» и параллельно готовился к переезду на новую студию — с Севкабеля на отдельное пространство, в котором у нас сейчас моя мастерская, шоурум, ателье по пошиву и вся команда бренда одежды. ⠀ Голова разрывалась от идей и мыслей, совсем недавно прилетел из Шанхая и очень хотелось успеть сохранить всё это наслоение смыслов и образов в одной работе — до переезда и всякой суеты и быта. ⠀ Вот, что вышло: ⠀ Title: TRANSITION: ROYAL –– STREET –––––––– ABSTRACT EXPRESSIONISM  ––––––––––––––––––––––  MEMORIES.   ╳15 ⠀ 100 x 100 cm. ⠀ Transition series are representing transition process of calligraphy evolution through the Past, Present and Future, Traditional and Modern, Visual and Abstract, Humanity and Technology paradigms as a distinct set of concepts or thought patterns, including theories, research methods, postulates, and standards for what constitutes legitimate contributions to a field. ⠀ Text: Cyrillic, Calligrafuturism style. ⠀ Acrylic paint, nitro paint, spray paint, pencil, black gloss paint on canvas. ⠀ Mixed tech. 2019. ⠀ Не мог даже представить, насколько контрастным этот год окажется с прошлым. Поэтому настроение этой работы и пластика каллиграфии так сильно отличается от полотен 2020 года.",0,0,0,0,0
62,"НИЧЕГО СТРАШНОГО","channel1486494176",-1,"2020-11-24 19:55:55","photo","(File not included. Change data exporting settings to download.)",0,0,0,0,0
63,"НИЧЕГО СТРАШНОГО","channel1486494176",-1,"2020-11-25 09:29:22","photo","(File not included. Change data exporting settings to download.)",0,0,0,0,0
64,"НИЧЕГО СТРАШНОГО","channel1486494176",-1,"2020-11-25 15:39:23","photo","(File not included. Change data exporting settings to download.)",0,0,0,0,0
65,"НИЧЕГО СТРАШНОГО","channel1486494176",-1,"2020-11-25 16:04:50","photo","(File not included. Change data exporting settings to download.)",0,0,0,0,0
69,"НИЧЕГО СТРАШНОГО","channel1486494176",-1,"2020-11-26 22:57:35","photo","(File not included. Change data exporting settings to download.)",0,0,0,0,0
70,"НИЧЕГО СТРАШНОГО","channel1486494176",-1,"2020-11-26 22:57:35","photo","(File not included. Change data exporting settings to download.)",0,0,0,0,0
71,"НИЧЕГО СТРАШНОГО","channel1486494176",-1,"2020-11-26 23:18:16","link","Послезавтра, в Ростове, покажут небольшой фильм про меня и нескольких уличных художников из Петербурга. https://www.instagram.com/p/CID3pUSsLs5/",0,0,0,0,0
72,"НИЧЕГО СТРАШНОГО","channel1486494176",-1,"2020-11-26 23:18:35","text","28 ноября | 15:00 | ЧЕТЫРЕ документальных фильма про уличное искусство.  Смотрим кино от проекта #Ленинбург @lenin_burg  и Паши Никифорова. Фильмы короткометражные, длительность мероприятия - около 2-х часов. 100 ₽ | 18+ | Регистрация в директ или 8 (988) 890-09-23   💭 «Миша Маркер. Личный протест в уличном искусстве».  Миша Маркер не называет себя уличным, как и художником. Он скрывает лицо. Оккупирует все городские афишные щиты и тумбы. Его плакаты всегда ироничны и злободневны, но Миша никогда ничего не делает «под событие». И это его личный протест в уличном искусстве.   💭 «Стас Багс. Город бесов»  Один день из жизни города, в котором живёт уличный художник Стас Багс.  💭 «Кир Шаманов. Музей стрит-арта и Дурные дети Петербурга».  Кир Шаманов о своей книге «Дурные дети Перестройки», героиновом прошлом, 0 рублей, самогоне из крови русских и украинских художников, музее стрит-арта и группировке ЗАЧЕМ.   💭 «Андрей Люблинский - Стрит-арт в Петербурге».  Андрей Люблинский о петербургском стрит-арте, о «красных человечках», а ещё мурал в виде колбасы на Петроградской, пустые брандмауэры Петербурга и «собаки-камеры наблюдения» на Почтамской улице.",1,0,0,1,0
73,"НИЧЕГО СТРАШНОГО","channel1486494176",-1,"2020-11-26 23:18:42","photo","(File not included. Change data exporting settings to download.)",0,0,0,0,0
74,"НИЧЕГО СТРАШНОГО","channel1486494176",-1,"2020-11-26 23:18:42","photo","(File not included. Change data exporting settings to download.)",0,0,0,0,0
75,"НИЧЕГО СТРАШНОГО","channel1486494176",-1,"2020-11-26 23:18:42","photo","(File not included. Change data exporting settings to download.)",0,0,0,0,0
76,"НИЧЕГО СТРАШНОГО","channel1486494176",-1,"2020-11-26 23:18:42","photo","(File not included. Change data exporting settings to download.)",0,0,0,0,0
77,"НИЧЕГО СТРАШНОГО","channel1486494176",-1,"2020-11-26 23:18:42","photo","(File not included. Change data exporting settings to download.)",0,0,0,0,0
78,"НИЧЕГО СТРАШНОГО","channel1486494176",-1,"2020-11-26 23:18:42","photo","(File not included. Change data exporting settings to download.)",0,0,0,0,0
79,"НИЧЕГО СТРАШНОГО","channel1486494176",-1,"2020-11-26 23:18:43","photo","(File not included. Change data exporting settings to download.)",0,0,0,0,0
80,"НИЧЕГО СТРАШНОГО","channel1486494176",-1,"2020-11-26 23:18:43","photo","(File not included. Change data exporting settings to download.)",0,0,0,0,0
81,"НИЧЕГО СТРАШНОГО","channel1486494176",-1,"2020-11-26 23:18:43","photo","(File not included. Change data exporting settings to download.)",0,0,0,0,0
82,"НИЧЕГО СТРАШНОГО","channel1486494176",-1,"2020-11-26 23:18:43","photo","(File not included. Change data exporting settings to download.)",0,0,0,0,0
83,"НИЧЕГО СТРАШНОГО","channel1486494176",-1,"2020-11-27 17:24:04","photo","(File not included. Change data exporting settings to download.)",0,0,0,0,0
84,"НИЧЕГО СТРАШНОГО","channel1486494176",-1,"2020-11-27 17:24:04","photo","(File not included. Change data exporting settings to download.)",0,0,0,0,0
85,"НИЧЕГО СТРАШНОГО","channel1486494176",-1,"2020-11-27 17:24:04","photo","(File not included. Change data exporting settings to download.)",0,0,0,0,0
86,"НИЧЕГО СТРАШНОГО","channel1486494176",-1,"2020-11-27 17:24:05","photo","(File not included. Change data exporting settings to download.)",0,0,0,0,0
87,"НИЧЕГО СТРАШНОГО","channel1486494176",-1,"2020-11-27 17:24:05","photo","(File not included. Change data exporting settings to download.)",0,0,0,0,0
88,"НИЧЕГО СТРАШНОГО","channel1486494176",-1,"2020-11-27 17:24:05","photo","(File not included. Change data exporting settings to download.)",0,0,0,0,0
89,"НИЧЕГО СТРАШНОГО","channel1486494176",-1,"2020-11-27 17:24:05","photo","(File not included. Change data exporting settings to download.)",0,0,0,0,0
90,"НИЧЕГО СТРАШНОГО","channel1486494176",-1,"2020-11-27 17:24:05","photo","(File not included. Change data exporting settings to download.)",0,0,0,0,0
91,"НИЧЕГО СТРАШНОГО","channel1486494176",-1,"2020-11-27 17:24:05","photo","(File not included. Change data exporting settings to download.)",0,0,0,0,0
92,"НИЧЕГО СТРАШНОГО","channel1486494176",-1,"2020-11-27 17:24:05","photo","(File not included. Change data exporting settings to download.)",0,0,0,0,0
93,"НИЧЕГО СТРАШНОГО","channel1486494176",-1,"2020-11-29 11:22:31","photo","(File not included. Change data exporting settings to download.)",0,0,0,0,0
95,"НИЧЕГО СТРАШНОГО","channel1486494176",-1,"2020-12-04 20:41:37","link","Новый объект уличного искусства в Ростове от московского художника Андрей Делай и его проекта ""Культурный вандализм"" при поддержке Художественной галереи “Ростов”.  https://www.instagram.com/andrei.delai/ https://www.instagram.com/kulturnyi.vandalizm/  Все (или не все) знают про фестиваль стрит-арта “Один за всех” в Братске.  Для тех, кто не в курсе - местный художник Григорий Шаров придумал свою собственную концепцию проведения мероприятия. Участники фестиваля отправляли ему эскизы, а художник сам находил места и реализовывал проекты. Было сделано 12 уличных работ художников из разных городов.  Именно фестиваль ""Один за всех"" вдохновил нас на реализацию совместного проекта с Андреем Делай.  В этом году мы сделаем еще несколько мероприятий, связанных с уличным искусством. В декабре к нам приезжает Слава ПТРК и в галерее состоится его выставка и лекция. А в последние дни года мы реализуем на улицах нашего города интерактивную выставку “Голоса птиц”.  Это совместный проект с творческой группой Urbancode из Санкт-Петербурга.  https://www.instagram.com/slavaptrk   О фестивале в Братске можно прочитать по ссылке -   https://strelkamag.com/ru/article/festival-strit-arta-v-bratske, а это страничка организатора фестиваля https://www.instagram.com/etosharov/",0,0,0,0,0
96,"НИЧЕГО СТРАШНОГО","channel1486494176",-1,"2020-12-04 20:42:07","photo","(File not included. Change data exporting settings to download.)",0,0,0,0,0
97,"НИЧЕГО СТРАШНОГО","channel1486494176",-1,"2020-12-04 20:42:07","photo","(File not included. Change data exporting settings to download.)",0,0,0,0,0
98,"НИЧЕГО СТРАШНОГО","channel1486494176",-1,"2020-12-04 20:42:07","photo","(File not included. Change data exporting settings to download.)",0,0,0,0,0
99,"НИЧЕГО СТРАШНОГО","channel1486494176",-1,"2020-12-04 20:42:07","photo","(File not included. Change data exporting settings to download.)",0,0,0,0,0
100,"НИЧЕГО СТРАШНОГО","channel1486494176",-1,"2020-12-06 17:07:00","photo","(File not included. Change data exporting settings to download.)",0,0,0,0,0
